Num_Acc,PriseEnCharge
202 000 000 001,2278.68
202 000 000 002,2573.46
202 000 000 003,2766.99
202 000 000 004,2544.67
202 000 000 005,1315.94
202 000 000 006,2040.1
202 000 000 007,2675.42
202 000 000 008,2265.86
202 000 000 009,2429.44
202 000 000 010,1704.46
202 000 000 011,2756.64
202 000 000 012,2601.56
202 000 000 013,1235.27
202 000 000 014,1916.7
202 000 000 015,3449.06
202 000 000 016,1940.84
202 000 000 017,2763.28
202 000 000 018,1768.95
202 000 000 019,1986.92
202 000 000 020,3170
202 000 000 021,2503.49
202 000 000 022,2300.06
202 000 000 023,2346.32
202 000 000 024,2265.21
202 000 000 025,3084.78
202 000 000 026,2534.15
202 000 000 027,2401.14
202 000 000 028,3813.08
202 000 000 029,2727.43
202 000 000 030,2795.43
202 000 000 031,2612.94
202 000 000 032,2343.65
202 000 000 033,2195.58
202 000 000 034,1760.26
202 000 000 035,2547.84
202 000 000 036,2967.99
202 000 000 037,3618.93
202 000 000 038,2401.1
202 000 000 039,2292.68
202 000 000 040,2121.75
202 000 000 041,2359.71
202 000 000 042,2957.78
202 000 000 043,2005.77
202 000 000 044,2465.27
202 000 000 045,3974.54
202 000 000 046,2323.75
202 000 000 047,2754.65
202 000 000 048,2241.8
202 000 000 049,2815.42
202 000 000 050,2657.7
202 000 000 051,2228.24
202 000 000 052,2676.86
202 000 000 053,1554.09
202 000 000 054,2835.81
202 000 000 055,3542.31
202 000 000 056,1759.83
202 000 000 057,2227.99
202 000 000 058,1727.32
202 000 000 059,3337.12
202 000 000 060,2627.24
202 000 000 061,2001.72
202 000 000 062,2979.28
202 000 000 063,2842.8
202 000 000 064,1357.48
202 000 000 065,2205.6
202 000 000 066,2291.27
202 000 000 067,2496.09
202 000 000 068,1610.02
202 000 000 069,2216.87
202 000 000 070,1155.99
202 000 000 071,2668.44
202 000 000 072,1493.49
202 000 000 073,1866.64
202 000 000 074,3287.56
202 000 000 075,3026.62
202 000 000 076,2851.98
202 000 000 077,2015.37
202 000 000 078,3200.86
202 000 000 079,2720.2
202 000 000 080,3583.48
202 000 000 081,3775.81
202 000 000 082,1800.83
202 000 000 083,2302.82
202 000 000 084,2107.3
202 000 000 085,2164.87
202 000 000 086,2822.66
202 000 000 087,3127.69
202 000 000 088,2404.7
202 000 000 089,2700.42
202 000 000 090,1591.4
202 000 000 091,2106.75
202 000 000 092,2985.59
202 000 000 093,2540.97
202 000 000 094,2085.25
202 000 000 095,2029.05
202 000 000 096,2803.18
202 000 000 097,1920.77
202 000 000 098,2920.34
202 000 000 099,2524.55
202 000 000 100,3039.39
202 000 000 101,2785.35
202 000 000 102,2473.62
202 000 000 103,2904.52
202 000 000 104,1609.97
202 000 000 105,2008.59
202 000 000 106,2446.86
202 000 000 107,3799.03
202 000 000 108,2348.6
202 000 000 109,2729.99
202 000 000 110,2969.09
202 000 000 111,2203.01
202 000 000 112,1945.02
202 000 000 113,3187.66
202 000 000 114,1599.21
202 000 000 115,2745.54
202 000 000 116,2591.52
202 000 000 117,2301.15
202 000 000 118,2023.79
202 000 000 119,2898.51
202 000 000 120,3508.84
202 000 000 121,2226.57
202 000 000 122,2563.21
202 000 000 123,1933.45
202 000 000 124,2228.76
202 000 000 125,1530.66
202 000 000 126,2541.36
202 000 000 127,3560.74
202 000 000 128,1806.76
202 000 000 129,2313.16
202 000 000 130,2966.79
202 000 000 131,1762.74
202 000 000 132,2788.21
202 000 000 133,2617
202 000 000 134,2012.31
202 000 000 135,2129.36
202 000 000 136,3169.12
202 000 000 137,1942.91
202 000 000 138,1269.44
202 000 000 139,2252.16
202 000 000 140,2608.95
202 000 000 141,2428.92
202 000 000 142,2730.48
202 000 000 143,2465.83
202 000 000 144,3476.22
202 000 000 145,2768.86
202 000 000 146,2389.73
202 000 000 147,2203.69
202 000 000 148,2787.34
202 000 000 149,2956.18
202 000 000 150,1475.78
202 000 000 151,2855.31
202 000 000 152,2776.18
202 000 000 153,2484.48
202 000 000 154,1560.54
202 000 000 155,1888.55
202 000 000 156,2041.33
202 000 000 157,2982.6
202 000 000 158,1837.86
202 000 000 159,1645.94
202 000 000 160,1362.38
202 000 000 161,2056.12
202 000 000 162,1395.96
202 000 000 163,2574.88
202 000 000 164,2291.23
202 000 000 165,1737.91
202 000 000 166,2605.1
202 000 000 167,1725.18
202 000 000 168,2383.37
202 000 000 169,2323.8
202 000 000 170,1644.27
202 000 000 171,3949.19
202 000 000 172,2512.61
202 000 000 173,2128.29
202 000 000 174,2319.78
202 000 000 175,2610.52
202 000 000 176,2809.82
202 000 000 177,2249.15
202 000 000 178,2206.77
202 000 000 179,2146.79
202 000 000 180,2518.04
202 000 000 181,1848.54
202 000 000 182,2242.31
202 000 000 183,1941.25
202 000 000 184,2638.12
202 000 000 185,3343.68
202 000 000 186,2564.35
202 000 000 187,2672.99
202 000 000 188,2216.74
202 000 000 189,2919.74
202 000 000 190,2435.6
202 000 000 191,1826.67
202 000 000 192,2459.54
202 000 000 193,2318.7
202 000 000 194,1792.39
202 000 000 195,2256.99
202 000 000 196,1743.84
202 000 000 197,2641.6
202 000 000 198,1458.9
202 000 000 199,3093.29
202 000 000 200,2806.09
202 000 000 201,2646.63
202 000 000 202,2525.8
202 000 000 203,2186.82
202 000 000 204,2475.88
202 000 000 205,3101.02
202 000 000 206,2774.38
202 000 000 207,2554.06
202 000 000 208,2803.19
202 000 000 209,1668.44
202 000 000 210,2293.25
202 000 000 211,2394.49
202 000 000 212,2911.11
202 000 000 213,2686.12
202 000 000 214,2931.26
202 000 000 215,1970.04
202 000 000 216,2788.36
202 000 000 217,2906.77
202 000 000 218,2466.23
202 000 000 219,2200.54
202 000 000 220,2706.9
202 000 000 221,3390.34
202 000 000 222,2284.04
202 000 000 223,2471.48
202 000 000 224,2716.14
202 000 000 225,3529.73
202 000 000 226,2270.19
202 000 000 227,2623.19
202 000 000 228,2663.45
202 000 000 229,2280.8
202 000 000 230,2850.35
202 000 000 231,2061.31
202 000 000 232,2236.11
202 000 000 233,1609.55
202 000 000 234,2552.95
202 000 000 235,1628.97
202 000 000 236,2627.07
202 000 000 237,3404.2
202 000 000 238,2047.68
202 000 000 239,1385.61
202 000 000 240,1925.22
202 000 000 241,1983.1
202 000 000 242,2190.13
202 000 000 243,2717.77
202 000 000 244,2317.35
202 000 000 245,2980.73
202 000 000 246,2033.65
202 000 000 247,1533.39
202 000 000 248,1723.33
202 000 000 249,1996.69
202 000 000 250,1811.57
202 000 000 251,2707.32
202 000 000 252,2439.36
202 000 000 253,3033.21
202 000 000 254,1945.85
202 000 000 255,2699.06
202 000 000 256,1669.63
202 000 000 257,1516.03
202 000 000 258,2250.78
202 000 000 259,2096.87
202 000 000 260,2518.33
